sex,age,race,score
Male,69,Other,1
Male,31,Caucasian,5
Male,34,African-American,3
Male,24,African-American,4
Male,23,African-American,8
Male,43,Other,1
Male,44,Other,1
Male,41,Caucasian,6
Male,43,Other,4
Female,39,Caucasian,1
Male,20,Caucasian,10
Female,26,Caucasian,5
Male,21,Caucasian,3
Male,27,Caucasian,4
Male,23,African-American,6
Female,37,Caucasian,1
Male,22,Caucasian,3
Male,41,African-American,4
Female,47,Caucasian,1
Male,31,African-American,3
Male,37,Hispanic,1
Male,25,African-American,10
Male,31,Caucasian,5
Male,31,Caucasian,3
Male,64,African-American,6
Male,21,African-American,9
Male,27,Caucasian,2
Female,21,Caucasian,4
Male,24,African-American,-1
Male,24,Hispanic,4
Male,42,Caucasian,3
Male,43,Caucasian,1
Male,32,Other,3
Female,54,African-American,9
Male,44,African-American,6
Female,49,Caucasian,1
Male,27,African-American,3
Female,36,Caucasian,3
Male,26,African-American,7
Male,33,African-American,10
Male,30,Caucasian,9
Male,32,African-American,8
Male,63,African-American,1
Male,27,Hispanic,3
Male,55,Caucasian,1
Male,29,Caucasian,8
Male,32,African-American,10
Male,38,African-American,3
Male,53,Caucasian,5
Male,49,Other,3
Male,26,Caucasian,8
Female,33,Caucasian,5
Male,24,Caucasian,2
Male,34,African-American,9
Male,29,Caucasian,2
Female,21,African-American,8
Male,51,African-American,1
Male,36,African-American,1
Male,29,Caucasian,2
Male,25,African-American,6
Female,51,African-American,2
Male,28,Caucasian,7
Male,36,African-American,9
Male,29,African-American,7
Male,29,Other,1
Male,25,Caucasian,10
Male,35,African-American,8
Male,49,Caucasian,1
Male,34,African-American,3
Male,29,African-American,4
Male,29,Caucasian,2
Female,28,Other,2
Male,51,Caucasian,2
Male,25,Caucasian,3
Male,48,Caucasian,6
Male,33,Caucasian,9
Female,63,Hispanic,1
Male,30,African-American,6
Male,31,African-American,5
Male,24,African-American,4
Male,27,African-American,5
Male,32,Caucasian,8
Male,30,Hispanic,7
Male,49,African-American,1
Male,53,Caucasian,5
Female,31,Hispanic,1
Male,35,African-American,3
Male,63,African-American,7
Male,33,African-American,1
Male,27,African-American,10
Male,38,Caucasian,2
Male,46,Caucasian,6
Male,22,African-American,4
Female,34,Caucasian,1
Male,22,African-American,10
Male,29,African-American,9
Male,62,Hispanic,1
Male,27,African-American,6
Male,33,Other,1
Female,56,African-American,1
Male,45,Hispanic,1
Male,22,Hispanic,4
Female,31,Caucasian,3
Male,34,African-American,4
Male,39,African-American,4
Male,24,African-American,6
Male,29,African-American,6
Male,27,Caucasian,6
Male,41,African-American,2
Female,24,Hispanic,4
Male,40,African-American,2
Male,51,African-American,1
Male,22,African-American,3
Male,22,Caucasian,8
Female,26,African-American,4
Male,27,Caucasian,7
Female,59,African-American,1
Male,32,Caucasian,1
Male,32,African-American,2
Male,41,African-American,2
Male,50,Caucasian,1
Male,30,African-American,10
Male,66,African-American,9
Male,52,African-American,5
Male,36,African-American,6
Male,22,Caucasian,6
Male,50,Other,1
Male,25,African-American,10
Female,44,Caucasian,1
